name,app_store_price,play_store_price,app_store_rating,play_store_rating,app_store_genre,play_store_genre,avg_rating
PewDiePie's Tuber Simulator,$0.00 ,$0.00 ,5,4.8,Games,Casual,4.9
Domino's Pizza USA,$0.00 ,$0.00 ,5,4.7,Food & Drink,Food & Drink,4.85
"Egg, Inc.",$0.00 ,$0.00 ,5,4.7,Games,Simulation,4.85
Geometry Dash Lite,$0.00 ,$0.00 ,5,4.5,Games,Arcade,4.75
Bible,$0.00 ,$0.00 ,4.5,4.7,Reference,Books & Reference,4.6
Solitaire,$0.00 ,$0.00 ,4.5,4.7,Games,Card,4.6
Toy Blast,$0.00 ,$0.00 ,4.5,4.7,Games,Puzzle,4.6
Where's My Water?,$1.99 ,$1.99 ,4.5,4.7,Games,Puzzle;Brain Games,4.6
Zombie Catchers,$0.00 ,$0.00 ,4.5,4.7,Games,Action,4.6
Angry Birds Blast,$0.00 ,$0.00 ,4.5,4.6,Games,Puzzle,4.55
